"file_name","problem_name","plan_length","num_ground_repair","str_ground_repair","run_time","error","results_exists","result_depth","result_repair_set","result_g_cost","result_h_cost","result_f_cost","num_neighbours","iteration_min","iteration_max","iteration_median","iteration_avg","iteration_sum","depth_min","depth_max","depth_median","depth_avg","depth_sum","branching_factor_min","branching_factor_max","branching_factor_median","branching_factor_avg","branching_factor_sum","fringe_size_min","fringe_size_max","fringe_size_median","fringe_size_avg","fringe_size_sum","h_cost_min","h_cost_max","h_cost_median","h_cost_avg","h_cost_sum","g_cost_min","g_cost_max","g_cost_median","g_cost_avg","g_cost_sum","f_cost_min","f_cost_max","f_cost_median","f_cost_avg","f_cost_sum","num_neighbours_min","num_neighbours_max","num_neighbours_median","num_neighbours_avg","num_neighbours_sum"
"greedy_length_7_mprime_pprob21-err-rate-0-5.yaml","mprime/pprob21-err-rate-0-5",7,2,"succumb,(fears ?c ?v),precPos,-1
feast,(locale ?n2 ?l2),effPos,1","0.2 hours = 12.4 minutes = 743.92 seconds","",True,7,"succumb,(fears ?c ?v),precPos,-1",1,0,1,0,1,8,4.5,4.5,36,0,7,3.5,3.5,28,0,165,47.0,57.75,462,49,456,336.5,289.25,2314,0,1,1.0,0.75,6,0,1,0.0,0.125,1,0,1,1.0,0.875,7,0,165,47.0,57.75,462
"greedy_length_4_mystery_pprob03-err-rate-0-3.yaml","mystery/pprob03-err-rate-0-3",4,1,"succumb,(craves ?c ?n),effPos,1","","",False,"","","","","",0,1,259,130,130,33670,0,3,3,2.976833976833977,771,0,268,0,2.0424710424710426,529,268,527,398,398.003861003861,103083,0,0,0,0,0,0,2,2,1.471042471042471,381,0,2,2,1.471042471042471,381,0,268,0,2.0424710424710426,529
"greedy_length_8_rovers_pp02-err-rate-0-5.yaml","rovers/pp02-err-rate-0-5",8,2,"calibrate,(equipped_for_soil_analysis ?r),effPos,1
communicate_image_data,(at_lander ?l ?y),effPos,1","0.0 hours = 0.9 minutes = 52.58 seconds","",True,8,"calibrate,(equipped_for_soil_analysis ?r),effPos,1
communicate_image_data,(at_lander ?l ?y),effPos,1",2,0,2,0,1,33,17,17,561,0,8,5,4.909090909090909,162,0,6,1,1.1515151515151516,38,2,9,7,6.818181818181818,225,0,1,1,0.8484848484848485,28,0,2,1,0.9090909090909091,30,0,3,2,1.7575757575757576,58,0,6,1,1.1515151515151516,38
"greedy_length_4_miconic_ps1-2-err-rate-0-3.yaml","miconic/ps1-2-err-rate-0-3",4,2,"up,(not (lift-at ?f1)),effNeg,-1
depart,(served ?p),effPos,1","0.0 hours = 0.1 minutes = 4.87 seconds","",True,4,"up,(not (lift-at ?f1)),effNeg,-1
depart,(served ?p),effPos,1",2,0,2,0,1,5,3,3,15,0,4,2,2,10,0,1,1,0.8,4,0,1,1,0.8,4,0,1,1,0.6,3,0,2,0,0.4,2,0,2,1,1,5,0,1,1,0.8,4
"greedy_length_8_ged-opt14-strips_pd-3-2-err-rate-0-5.yaml","ged-opt14-strips/pd-3-2-err-rate-0-5",8,2,"end-splice-1,(swappable ?y ?x),precPos,-1
begin-cut,(s-first ?y),precPos,-1","0.0 hours = 1.3 minutes = 79.02 seconds","",True,8,"end-cut-1,(inverted ?x),effPos,1
invert-single-gene-a,(not (normal ?x)),effNeg,-1
begin-cut,(s-first ?y),precPos,-1
begin-transpose-splice,(inverted ?y),effPos,1
end-cut-1,(swappable ?y ?x),effPos,1",5,0,5,0,1,42,21.5,21.5,903,0,8,6.0,5.428571428571429,228,0,5,1.0,1.2380952380952381,52,5,15,12.0,11.571428571428571,486,0,1,1.0,0.6428571428571429,27,0,5,1.0,1.3333333333333333,56,0,5,2.0,1.9761904761904763,83,0,5,1.0,1.2380952380952381,52
"greedy_length_4_mystery_pprob29-err-rate-0-3.yaml","mystery/pprob29-err-rate-0-3",4,1,"overcome,(fears ?v ?c),precPos,-1","","",False,"","","","","",0,1,332,166.5,166.5,55278,0,3,3.0,2.9789156626506026,989,0,168,0.0,1.5301204819277108,508,12,342,259.0,258.5120481927711,85826,0,0,0.0,0,0,0,3,3.0,2.5963855421686746,862,0,3,3.0,2.5963855421686746,862,0,168,0.0,1.5301204819277108,508
"greedy_length_5_mystery_pprob01-err-rate-0-3.yaml","mystery/pprob01-err-rate-0-3",5,1,"succumb,(craves ?c ?n),effPos,1","0.1 hours = 3.0 minutes = 180.71 seconds","",True,5,"succumb,(craves ?c ?n),effPos,1",1,0,1,0,1,7,4,4,28,0,5,3,2.7142857142857144,19,0,43,3,18.142857142857142,127,3,123,121,88.71428571428571,621,0,0,0,0,0,0,1,0,0.14285714285714285,1,0,1,0,0.14285714285714285,1,0,43,3,18.142857142857142,127
"greedy_length_3_visitall-opt11-strips_pproblem02-full-err-rate-0-1.yaml","visitall-opt11-strips/pproblem02-full-err-rate-0-1",3,1,"move,(visited ?nextpos),effPos,1","0.0 hours = 0.4 minutes = 24.86 seconds","",True,3,"move,(visited ?nextpos),effPos,1",1,0,1,0,1,4,2.5,2.5,10,0,3,1.5,1.5,6,0,8,6.0,5,20,8,18,16.0,14.5,58,0,0,0.0,0,0,0,1,0.0,0.25,1,0,1,0.0,0.25,1,0,8,6.0,5,20
"greedy_length_12_transport-opt08-strips_pp22-err-rate-0-1.yaml","transport-opt08-strips/pp22-err-rate-0-1",12,1,"drop,(at ?p ?l),effPos,1","","",False,"","","","","",0,1,485,243,243,117855,0,11,11,10.82680412371134,5251,0,24,0,1.2144329896907216,589,4,147,126,124.59381443298969,60428,0,0,0,0,0,0,1,1,0.9855670103092784,478,0,1,1,0.9855670103092784,478,0,24,0,1.2144329896907216,589
"greedy_length_9_mystery_pprob28-err-rate-0-3.yaml","mystery/pprob28-err-rate-0-3",9,1,"succumb,(fears ?c ?v),precPos,-1","","",False,"","","","","",0,1,402,201.5,201.5,81003,0,8,8.0,7.870646766169155,3164,0,56,0.0,1.5497512437810945,623,54,286,242.0,243.06467661691542,97712,0,1,1.0,0.9975124378109452,401,0,3,2.0,2.318407960199005,932,0,4,3.0,3.31592039800995,1333,0,56,0.0,1.5497512437810945,623
