         572076071 function calls (532629626 primitive calls) in 248.305 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   260490    1.020    0.000   11.358    0.000 actions.py:71(uniquify_variables)
        1   25.600   25.600  240.472  240.472 astar_algorithm.py:11(find_path)
        1    0.000    0.000    0.000    0.000 astar_algorithm.py:7(__init__)
      120    0.000    0.000    0.000    0.000 conditions.py:132(__init__)
      120    0.000    0.000    0.000    0.000 conditions.py:134(change_parts)
      391    0.000    0.000    0.000    0.000 conditions.py:136(__eq__)
48166/24023    0.096    0.000    0.148    0.000 conditions.py:15(parse_condition_aux)
       21    0.000    0.000    0.000    0.000 conditions.py:168(_simplified)
  9502600    4.508    0.000    6.449    0.000 conditions.py:281(__init__)
  2390627    0.622    0.000    0.622    0.000 conditions.py:285(__eq__)
  1528372    0.553    0.000    0.904    0.000 conditions.py:291(__ne__)
      141    0.000    0.000    0.000    0.000 conditions.py:312(change_parts)
  1292187    0.538    0.000    4.838    0.000 conditions.py:314(uniquify_variables)
  2334179    3.775    0.000    7.474    0.000 conditions.py:316(rename_variables)
  5062227    1.405    0.000    1.962    0.000 conditions.py:317(<genexpr>)
       65    0.000    0.000    0.000    0.000 conditions.py:337(negate)
   457588    0.575    0.000    2.006    0.000 conditions.py:342(pddl)
  1079384    0.341    0.000    0.509    0.000 conditions.py:343(<genexpr>)
       55    0.000    0.000    0.000    0.000 conditions.py:357(negate)
      120    0.000    0.000    0.000    0.000 conditions.py:49(parse_literal)
    24023    0.050    0.000    0.479    0.000 conditions.py:5(parse_condition)
   593022    0.377    0.000    1.364    0.000 conditions.py:64(__init__)
 54228379    5.794    0.000    5.794    0.000 conditions.py:67(__hash__)
  282/142    0.000    0.000    0.001    0.000 conditions.py:81(_postorder_visit)
      261    0.000    0.000    0.000    0.000 conditions.py:86(_propagate)
      142    0.000    0.000    0.001    0.000 conditions.py:88(simplified)
  1326503    0.889    0.000    6.369    0.000 conditions.py:95(uniquify_variables)
1286992/245120    2.085    0.000    5.235    0.000 copy.py:118(deepcopy)
   520936    0.083    0.000    0.083    0.000 copy.py:172(_deepcopy_atomic)
766056/245120    1.056    0.000    4.263    0.000 copy.py:191(_deepcopy_list)
   766056    0.677    0.000    0.950    0.000 copy.py:231(_keep_alive)
    24000    0.295    0.000   84.533    0.004 domain.py:101(copy)
    24000    0.043    0.000    0.080    0.000 domain.py:104(set_goal_empty)
   122560    0.023    0.000    0.023    0.000 domain.py:109(init)
    24000    0.005    0.000    0.005    0.000 domain.py:113(goal)
       12    0.000    0.000    0.000    0.000 domain.py:117(objects)
    24000    0.061    0.000    0.065    0.000 domain.py:121(__repr__)
    24000    0.014    0.000    0.079    0.000 domain.py:124(__str__)
    98560    0.016    0.000    0.016    0.000 domain.py:26(repairs)
   122560    0.069    0.000    0.069    0.000 domain.py:30(repairs)
    24012    0.005    0.000    0.005    0.000 domain.py:34(constants)
   122560    0.022    0.000    0.022    0.000 domain.py:38(repaired)
   221120    0.043    0.000    0.043    0.000 domain.py:42(repaired)
   245132    0.090    0.000    0.090    0.000 domain.py:54(get_action)
    62400    0.024    0.000    0.024    0.000 domain.py:60(get_constant)
   122560    0.530    0.000   15.180    0.000 domain.py:66(update)
        1    0.000    0.000    0.014    0.014 domain.py:7(__init__)
   122560    0.164    0.000    0.164    0.000 domain.py:78(clean)
    24001    0.412    0.000   84.242    0.004 domain.py:84(__init__)
   144000    0.043    0.000    0.043    0.000 domain.py:95(get_object)
  1041992    1.076    0.000    4.461    0.000 effects.py:114(uniquify_variables)
       22    0.000    0.000    0.003    0.000 effects.py:17(parse_effects)
       66    0.000    0.000    0.000    0.000 effects.py:219(__init__)
       22    0.000    0.000    0.000    0.000 effects.py:231(normalize)
       22    0.000    0.000    0.000    0.000 effects.py:236(extract_cost)
      120    0.000    0.000    0.000    0.000 effects.py:247(__init__)
      120    0.000    0.000    0.000    0.000 effects.py:251(normalize)
       22    0.000    0.000    0.000    0.000 effects.py:257(__init__)
       22    0.000    0.000    0.000    0.000 effects.py:261(normalize)
   142/22    0.001    0.000    0.002    0.000 effects.py:28(add_effect)
   164/22    0.000    0.000    0.001    0.000 effects.py:68(parse_effect)
      240    0.000    0.000    0.000    0.000 effects.py:92(__init__)
      391    0.000    0.000    0.000    0.000 effects.py:96(__eq__)
        2    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:1292(value)
        6    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
        2    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
        1    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        2    0.000    0.000    0.000    0.000 enum.py:726(__call__)
    72025    0.124    0.000    0.576    0.000 f_expression.py:14(parse_assignment)
   144050    0.237    0.000    0.425    0.000 f_expression.py:3(parse_expression)
    72014    0.055    0.000    0.055    0.000 f_expression.py:40(__init__)
    72036    0.038    0.000    0.055    0.000 f_expression.py:57(__init__)
   144006    0.021    0.000    0.021    0.000 f_expression.py:61(__hash__)
    72025    0.013    0.000    0.013    0.000 f_expression.py:91(__init__)
   122560    0.389    0.000    7.664    0.000 fm.py:157(__init__)
   383028    1.047    0.000    7.560    0.000 fm.py:197(init)
   260468    0.334    0.000    1.986    0.000 fm.py:228(delete)
   260468    0.218    0.000    7.778    0.000 fm.py:239(reinit)
   122560    0.648    0.000   18.010    0.000 fm.py:249(compute)
   122560    0.815    0.000   15.155    0.000 fm.py:283(_compute)
   520936    0.184    0.000    0.275    0.000 fm.py:296(<lambda>)
   260468    0.738    0.000    2.291    0.000 fm.py:306(treat_core)
   260468    0.054    0.000    0.054    0.000 fm.py:326(<lambda>)
   260468    0.119    0.000    0.119    0.000 fm.py:337(split_core)
   260468    0.284    0.000    0.817    0.000 fm.py:377(relax_core)
   260468    0.301    0.000    0.431    0.000 fm.py:422(remove_unit_core)
    24000    0.012    0.000    0.012    0.000 formula.py:3743(__init__)
   197120    0.444    0.000    0.694    0.000 formula.py:4211(append)
        2    0.000    0.000    0.000    0.000 functions.py:4(__init__)
        2    0.000    0.000    0.000    0.000 functions.py:7(parse)
        1    0.001    0.001    0.001    0.001 graph.py:29(transitive_closure)
