"file name","problem name","plan length","num ground repair","run secs","iteration max","branching factor avg","results exists","result g cost","result h cost","result f cost","fringe size max","num neighbours sum"
"greedy_length_7_pegsol-08-strips_pp01-err-rate-0-3.yaml","pegsol-08-strips/pp01-err-rate-0-3","7","1","272.25","42","4.9523809523809526","True","1","0","1","168","208"
"greedy_length_5_mystery_pprob01-err-rate-0-3.yaml","mystery/pprob01-err-rate-0-3","5","1","153.05","7","18.142857142857142","True","1","0","1","123","127"
"greedy_length_3_visitall-opt11-strips_pproblem02-full-err-rate-0-5.yaml","visitall-opt11-strips/pproblem02-full-err-rate-0-5","3","1","19.84","4","5","True","1","0","1","18","20"
"greedy_length_3_visitall-opt11-strips_pproblem02-full-err-rate-0-1.yaml","visitall-opt11-strips/pproblem02-full-err-rate-0-1","3","1","20.49","4","5","True","1","0","1","18","20"
"greedy_length_11_tpp_pp03-err-rate-0-5.yaml","tpp/pp03-err-rate-0-5","11","1","92.69","12","5.5","True","1","0","1","56","66"
"greedy_length_7_miconic_ps2-3-err-rate-0-3.yaml","miconic/ps2-3-err-rate-0-3","7","1","18.57","8","1.875","True","1","0","1","9","15"
"greedy_length_3_miconic_ps1-1-err-rate-0-1.yaml","miconic/ps1-1-err-rate-0-1","3","1","2.69","4","0.75","True","1","0","1","1","3"
"greedy_length_11_miconic_ps3-4-err-rate-0-1.yaml","miconic/ps3-4-err-rate-0-1","11","1","133.76","26","3.6923076923076925","True","1","0","1","72","96"
"greedy_length_8_rovers_pp02-err-rate-0-3.yaml","rovers/pp02-err-rate-0-3","8","1","78.72","45","1.1333333333333333","True","1","0","1","8","51"
"greedy_length_7_driverlog_pp01-err-rate-0-1.yaml","driverlog/pp01-err-rate-0-1","7","1","94.81","8","9.125","True","1","0","1","67","73"
"greedy_length_5_mprime_pprob31-err-rate-0-5.yaml","mprime/pprob31-err-rate-0-5","5","1","254.97","9","20.666666666666668","True","1","0","1","181","186"
"greedy_length_4_miconic_ps1-3-err-rate-0-1.yaml","miconic/ps1-3-err-rate-0-1","4","1","5.04","5","0.8","True","1","0","1","1","4"
"greedy_length_11_tpp_pp03-err-rate-0-1.yaml","tpp/pp03-err-rate-0-1","11","1","26.16","12","1.5833333333333333","True","1","0","1","9","19"
"greedy_length_8_tpp_pp02-err-rate-0-3.yaml","tpp/pp02-err-rate-0-3","8","1","63.96","9","4.777777777777778","True","1","0","1","36","43"
"greedy_length_1_ged-opt14-strips_pd-1-2-err-rate-0-5.yaml","ged-opt14-strips/pd-1-2-err-rate-0-5","1","1","0.14","2","0.5","True","1","0","1","1","1"
"greedy_length_11_gripper_pprob01-err-rate-0-1.yaml","gripper/pprob01-err-rate-0-1","11","1","653.3","408","1.1299019607843137","True","1","0","1","63","461"
"greedy_length_12_rovers_pp03-err-rate-0-5.yaml","rovers/pp03-err-rate-0-5","12","1","115.26","27","3","True","1","0","1","56","81"
"greedy_length_7_miconic_ps2-3-err-rate-0-5.yaml","miconic/ps2-3-err-rate-0-5","7","1","17.7","8","1.875","True","1","0","1","9","15"
"greedy_length_8_rovers_pp04-err-rate-0-3.yaml","rovers/pp04-err-rate-0-3","8","1","159.08","93","1.064516129032258","True","1","0","1","21","99"
"greedy_length_13_ged-opt14-strips_pd-7-6-err-rate-0-1.yaml","ged-opt14-strips/pd-7-6-err-rate-0-1","13","0","340.31","221","1.0633484162895928","True","0","0","0","22","235"
