"file name","problem name","plan length","num ground repair","run secs","iteration max","branching factor avg","results exists","result g cost","result h cost","result f cost","fringe size max","num neighbours sum"
"bfs_length_5_mystery_pprob01-err-rate-0-3.yaml","mystery/pprob01-err-rate-0-3","5","1","0.76","8","2.125","True","1","0","1","13","17"
"bfs_length_7_miconic_ps2-3-err-rate-0-3.yaml","miconic/ps2-3-err-rate-0-3","7","1","0.97","10","0.9","True","1","0","1","4","9"
"bfs_length_3_miconic_ps1-1-err-rate-0-1.yaml","miconic/ps1-1-err-rate-0-1","3","1","0.3","4","0.75","True","1","0","1","1","3"
"bfs_length_5_transport-opt08-strips_pp01-err-rate-0-3.yaml","transport-opt08-strips/pp01-err-rate-0-3","5","1","1.0","11","2.4545454545454546","True","1","0","1","18","27"
"bfs_length_11_mprime_pprob12-err-rate-0-3.yaml","mprime/pprob12-err-rate-0-3","11","1","5.68","45","0.9777777777777777","True","1","0","1","10","44"
"bfs_length_8_miconic_ps2-0-err-rate-0-5.yaml","miconic/ps2-0-err-rate-0-5","8","2","1.2","10","0.9","True","1","0","1","3","9"
"bfs_length_7_miconic_ps2-3-err-rate-0-5.yaml","miconic/ps2-3-err-rate-0-5","7","1","0.94","9","1.1111111111111112","True","1","0","1","4","10"
"bfs_length_11_gripper_pprob01-err-rate-0-3.yaml","gripper/pprob01-err-rate-0-3","11","1","6.3","63","1.4444444444444444","True","1","0","1","48","91"
"bfs_length_10_rovers_pp01-err-rate-0-1.yaml","rovers/pp01-err-rate-0-1","10","1","2.21","21","0.9523809523809523","True","1","0","1","3","20"
"bfs_length_7_ged-opt14-strips_pd-2-4-err-rate-0-3.yaml","ged-opt14-strips/pd-2-4-err-rate-0-3","7","1","1.05","9","0.8888888888888888","True","1","0","1","2","8"
"bfs_length_8_ged-opt14-strips_pd-3-2-err-rate-0-3.yaml","ged-opt14-strips/pd-3-2-err-rate-0-3","8","1","3.73","22","1","True","1","0","1","6","22"
"bfs_length_12_miconic_ps3-2-err-rate-0-1.yaml","miconic/ps3-2-err-rate-0-1","12","1","1.37","14","1.8571428571428572","True","1","0","1","15","26"
"bfs_length_1_ged-opt14-strips_pd-1-2-err-rate-0-5.yaml","ged-opt14-strips/pd-1-2-err-rate-0-5","1","1","0.12","2","0.5","True","1","0","1","1","1"
"bfs_length_12_transport-opt08-strips_pp22-err-rate-0-1.yaml","transport-opt08-strips/pp22-err-rate-0-1","12","1","2.33","20","1.3","True","1","0","1","12","26"
"bfs_length_7_ged-opt14-strips_pd-2-4-err-rate-0-1.yaml","ged-opt14-strips/pd-2-4-err-rate-0-1","7","1","1.19","9","1","True","1","0","1","3","9"
"bfs_length_7_driverlog_pp01-err-rate-0-1.yaml","driverlog/pp01-err-rate-0-1","7","1","1.74","15","3.066666666666667","True","1","0","1","35","46"
"bfs_length_7_mprime_pprob21-err-rate-0-5.yaml","mprime/pprob21-err-rate-0-5","7","2","6.43","57","0.9824561403508771","True","0","0","0","8","56"
"bfs_length_13_ged-opt14-strips_pd-7-6-err-rate-0-1.yaml","ged-opt14-strips/pd-7-6-err-rate-0-1","13","0","1.56","14","0.9285714285714286","True","0","0","0","1","13"
