grounding method,lift_prob,search algorithm,domain class,instance_count,C_rate,C_abs,Q,max_h
G3,0.33,UCS,drivL,6,1.0,6.0,100.0,0.0
G3,0.33,UCS,fCell,36,0.0,0.0,,
G3,0.33,UCS,grid,3,1.0,3.0,100.0,0.0
G3,0.33,UCS,grip,3,1.0,3.0,100.0,0.0
G3,0.33,UCS,log98,3,1.0,3.0,100.0,0.0
G3,0.33,UCS,mic,48,1.0,48.0,100.0,0.0
G3,0.33,UCS,mprim,96,0.16,15.0,100.0,0.0
G3,0.33,UCS,myst,51,0.35,18.0,100.0,0.0
G3,0.33,UCS,rovs,12,1.0,12.0,100.0,0.0
G3,0.33,UCS,sat,9,1.0,9.0,100.0,0.0
G3,0.33,UCS,tpp,12,0.0,0.0,,0.0
G3,0.33,UCS,zeno,21,1.0,21.0,100.0,0.0
G3,0.33,A*_FF,blks,21,1.0,21.0,95.24,5.0
G3,0.33,A*_FF,depot,3,1.0,3.0,100.0,6.0
G3,0.33,A*_FF,drivL,6,1.0,6.0,83.33,3.0
G3,0.33,A*_FF,fCell,36,0.0,0.0,,
G3,0.33,A*_FF,grid,3,1.0,3.0,100.0,6.0
G3,0.33,A*_FF,grip,3,1.0,3.0,100.0,5.0
G3,0.33,A*_FF,log98,3,1.0,3.0,100.0,5.0
G3,0.33,A*_FF,mic,48,1.0,48.0,91.67,5.0
G3,0.33,A*_FF,mprim,96,0.16,15.0,100.0,3.0
G3,0.33,A*_FF,myst,51,0.33,17.0,100.0,4.0
G3,0.33,A*_FF,rovs,12,1.0,12.0,91.67,6.0
G3,0.33,A*_FF,sat,9,1.0,9.0,100.0,4.0
G3,0.33,A*_FF,tpp,12,0.0,0.0,,0.0
G3,0.33,A*_FF,zeno,21,0.86,18.0,100.0,3.0
G3,0.33,GBFS_FF,blks,21,1.0,21.0,95.24,5.0
G3,0.33,GBFS_FF,depot,3,1.0,3.0,33.33,5.0
G3,0.33,GBFS_FF,drivL,6,1.0,6.0,66.67,3.0
G3,0.33,GBFS_FF,fCell,36,0.0,0.0,,
G3,0.33,GBFS_FF,grid,3,1.0,3.0,66.67,6.0
G3,0.33,GBFS_FF,grip,3,1.0,3.0,33.33,4.0
G3,0.33,GBFS_FF,log98,3,1.0,3.0,0.0,5.0
G3,0.33,GBFS_FF,mic,48,1.0,48.0,81.25,5.0
G3,0.33,GBFS_FF,mprim,96,0.16,15.0,40.0,3.0
G3,0.33,GBFS_FF,myst,51,0.33,17.0,23.53,4.0
G3,0.33,GBFS_FF,rovs,12,1.0,12.0,75.0,6.0
G3,0.33,GBFS_FF,sat,9,1.0,9.0,77.78,3.0
