grounding method,lift_prob,search algorithm,domain class,instance_count,C_rate,C_abs,Q,max_h
G1,0.66,GBFS_FF,myst,51,0.55,28.0,100.0,4.0
G1,0.66,GBFS_FF,rovs,12,1.0,12.0,100.0,6.0
G1,0.66,GBFS_FF,sat,9,0.78,7.0,100.0,3.0
G1,0.66,GBFS_FF,tpp,12,0.92,11.0,90.91,3.0
G1,0.66,GBFS_FF,zeno,21,0.71,15.0,100.0,4.0
G1,0.66,DFS,blks,21,0.57,12.0,91.67,
G1,0.66,DFS,depot,3,0.0,0.0,,
G1,0.66,DFS,drivL,6,0.67,4.0,100.0,
G1,0.66,DFS,fCell,36,0.64,23.0,100.0,
G1,0.66,DFS,grid,3,0.33,1.0,100.0,
G1,0.66,DFS,grip,3,1.0,3.0,66.67,
G1,0.66,DFS,log98,3,0.67,2.0,100.0,
G1,0.66,DFS,mic,48,0.58,28.0,92.86,
G1,0.66,DFS,mprim,96,0.77,74.0,100.0,
G1,0.66,DFS,myst,51,0.55,28.0,100.0,
G1,0.66,DFS,rovs,12,1.0,12.0,100.0,
G1,0.66,DFS,sat,9,0.89,8.0,87.5,
G1,0.66,DFS,tpp,12,0.92,11.0,100.0,
G1,0.66,DFS,zeno,21,0.71,15.0,100.0,
G1,1.0,UCS,blks,21,0.71,15.0,86.67,
G1,1.0,UCS,depot,3,0.33,1.0,100.0,
G1,1.0,UCS,drivL,6,0.67,4.0,100.0,
G1,1.0,UCS,fCell,36,0.64,23.0,100.0,
G1,1.0,UCS,grid,3,0.33,1.0,100.0,
G1,1.0,UCS,grip,3,1.0,3.0,100.0,
G1,1.0,UCS,log98,3,0.0,0.0,,
G1,1.0,UCS,mic,48,0.6,29.0,100.0,
G1,1.0,UCS,mprim,96,0.32,31.0,100.0,
G1,1.0,UCS,myst,51,0.27,14.0,100.0,
G1,1.0,UCS,rovs,12,1.0,12.0,100.0,
G1,1.0,UCS,sat,9,0.33,3.0,100.0,
G1,1.0,UCS,tpp,12,0.92,11.0,100.0,
G1,1.0,UCS,zeno,21,0.52,11.0,100.0,
G1,1.0,A*_FF,blks,21,0.76,16.0,75.0,4.0
G1,1.0,A*_FF,depot,3,0.33,1.0,100.0,1.0
G1,1.0,A*_FF,drivL,6,0.67,4.0,100.0,1.0
G1,1.0,A*_FF,fCell,36,0.64,23.0,95.65,3.0
G1,1.0,A*_FF,grid,3,0.33,1.0,100.0,4.0
G1,1.0,A*_FF,grip,3,0.67,2.0,100.0,2.0
G1,1.0,A*_FF,log98,3,0.0,0.0,,
G1,1.0,A*_FF,mic,48,0.58,28.0,92.86,5.0
G1,1.0,A*_FF,mprim,96,0.35,34.0,100.0,3.0
G1,1.0,A*_FF,myst,51,0.29,15.0,100.0,2.0
G1,1.0,A*_FF,rovs,12,1.0,12.0,91.67,7.0
