file_name,problem_name,plan_length,num_ground_repair,str_ground_repair,run_time,error,results_exists,result_depth,result_repair_set,result_g_cost,result_h_cost,result_f_cost,depth_min,depth_max,depth_median,depth_avg,branching_factor_min,branching_factor_max,branching_factor_median,branching_factor_avg,fringe_size_min,fringe_size_max,fringe_size_median,fringe_size_avg,h_cost_min,h_cost_max,h_cost_median,h_cost_avg,g_cost_min,g_cost_max,g_cost_median,g_cost_avg,f_cost_min,f_cost_max,f_cost_median,f_cost_avg
bfs_length_6_mprime_pprob03-err-rate-0-5.yaml,mprime/pprob03-err-rate-0-5,6,1,"overcome,(harmony ?v ?s1),effPos,1",,,False,0,5,5.0,4.822179732313575,0,268,0.0,21.823135755258125,268,43569,22863.5,22541.02676864245,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_9_pegsol-08-strips_pp02-err-rate-0-5.yaml,pegsol-08-strips/pp02-err-rate-0-5,9,2,"jump-new-move,(last-visited ?to),effPos,1
jump-new-move,(move-ended ),effPos,1",0.4 hours = 24.8 minutes = 1490.16 seconds,,False,0,3,3,2.7569146508443634,0,76,0,0.9999087174806025,0,9176,5228,5014.981013235965,0,0,0,0,0,5,4,3.4446371519853947,0,5,4,3.4446371519853947
bfs_length_10_mystery_pprob30-err-rate-0-3.yaml,mystery/pprob30-err-rate-0-3,10,0,,,,False,0,9,9,8.595777951524628,0,1355,0,35.853792025019544,1355,44593,26908,26150.723221266613,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_5_mprime_pprob07-err-rate-0-1.yaml,mprime/pprob07-err-rate-0-1,5,0,,0.0 hours = 1.6 minutes = 96.63 seconds,,True,5,,0,0,0,0,5,4,3.467994310099573,0,500,0,4.534850640113798,500,2491,1259,1402.3826458036983,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_6_zenotravel_pp03-err-rate-0-3.yaml,zenotravel/pp03-err-rate-0-3,6,1,"debark,(in ?p ?a),precPos,-1",,,False,0,5,5.0,4.918707611152977,0,81,0.0,2.6723813112283348,2,17767,9200.0,9772.884796533534,0,0,0.0,0,0,2,2.0,1.8822532027128862,0,2,2.0,1.8822532027128862
bfs_length_6_blocks_pprobBLOCKS-4-2-err-rate-0-1.yaml,blocks/pprobBLOCKS-4-2-err-rate-0-1,6,0,,0.0 hours = 0.0 minutes = 1.89 seconds,,True,6,,0,0,0,0,6,4,3.5714285714285716,0,3,1,1.0476190476190477,1,5,3,3.238095238095238,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_1_ged-opt14-strips_pd-2-1-err-rate-0-3.yaml,ged-opt14-strips/pd-2-1-err-rate-0-3,1,0,,0.0 hours = 0.0 minutes = 0.13 seconds,,True,1,,0,0,0,0,1,0.5,0.5,0,1,0.5,0.5,0,1,0.5,0.5,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_8_mprime_pprob32-err-rate-0-5.yaml,mprime/pprob32-err-rate-0-5,8,1,"feast,(craves ?v ?n2),effPos,1",0.0 hours = 0.1 minutes = 4.03 seconds,,False,0,2,2.0,1.71875,0,7,0.0,0.96875,0,11,7.0,6.21875,0,0,0.0,0,0,1,0.0,0.4375,0,1,0.0,0.4375
bfs_length_4_tidybot-opt11-strips_pp01-err-rate-0-3.yaml,tidybot-opt11-strips/pp01-err-rate-0-3,4,0,,0.0 hours = 0.0 minutes = 0.60 seconds,,True,4,,0,0,0,0,4,2,2,0,4,2,2,4,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_9_woodworking-opt08-strips_pp01-err-rate-0-5.yaml,woodworking-opt08-strips/pp01-err-rate-0-5,9,3,"do-immersion-varnish,(surface-condition ?x ?surface),effPos,1
do-immersion-varnish,(surface-condition ?x ?surface),precPos,-1
do-plane,(not (colour ?x ?oldcolour)),effNeg,-1",0.0 hours = 0.0 minutes = 0.12 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_9_miconic_ps2-4-err-rate-0-1.yaml,miconic/ps2-4-err-rate-0-1,9,0,,0.0 hours = 0.0 minutes = 2.58 seconds,,True,9,,0,0,0,0,9,4.5,4.666666666666667,0,6,1.0,1.7083333333333333,5,21,12.0,12.541666666666666,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_10_data-network-opt18-strips_pp17-err-rate-0-1.yaml,data-network-opt18-strips/pp17-err-rate-0-1,10,1,"load,(sum ?limit ?after ?limit),precPos,-1",0.0 hours = 0.0 minutes = 0.16 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_6_woodworking-sat08-strips_pp01-err-rate-0-1.yaml,woodworking-sat08-strips/pp01-err-rate-0-1,6,0,,0.0 hours = 0.0 minutes = 0.13 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_10_blocks_pprobBLOCKS-4-1-err-rate-0-5.yaml,blocks/pprobBLOCKS-4-1-err-rate-0-5,10,2,"pick-up,(holding ?x),effPos,1
unstack,(clear ?y),effPos,1",0.0 hours = 0.0 minutes = 1.96 seconds,,True,10,"unstack,(clear ?x),effPos,1
unstack,(holding ?y),effPos,1",2,0,2,0,10,4.0,4.2,0,16,1.0,2.35,1,29,17.0,15.6,0,0,0.0,0,0,2,1.0,1.1,0,2,1.0,1.1
bfs_length_10_scanalyzer-08-strips_pp25-err-rate-0-5.yaml,scanalyzer-08-strips/pp25-err-rate-0-5,10,0,,,,False,0,2,1,1,16384,16384,16384,16384,16384,49150,32767,32767,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_9_freecell_pprobfreecell-2-5-err-rate-0-1.yaml,freecell/pprobfreecell-2-5-err-rate-0-1,9,1,"sendtohome,(clear ?oldcard),effPos,1",0.0 hours = 0.0 minutes = 0.16 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_10_data-network-opt18-strips_pp17-err-rate-0-5.yaml,data-network-opt18-strips/pp17-err-rate-0-5,10,0,,0.0 hours = 0.0 minutes = 0.13 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_8_mprime_pprob19-err-rate-0-3.yaml,mprime/pprob19-err-rate-0-3,8,0,,,,False,0,7,7.0,6.905852417302799,0,3840,0.0,12.642175572519085,305,36619,20922.5,20761.0368956743,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_5_mprime_pprob27-err-rate-0-1.yaml,mprime/pprob27-err-rate-0-1,5,1,"feast,(locale ?n2 ?n1),precPos,-1",0.0 hours = 0.1 minutes = 4.24 seconds,,False,0,2,2,1.68,0,6,0,0.96,0,7,4,3.84,0,0,0,0,0,1,1,0.6,0,1,1,0.6
bfs_length_5_woodworking-opt08-strips_pp21-err-rate-0-1.yaml,woodworking-opt08-strips/pp21-err-rate-0-1,5,1,"do-immersion-varnish,(colour ?x ?newcolour),effPos,1",0.0 hours = 0.0 minutes = 0.12 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_10_blocks_pprobBLOCKS-5-1-err-rate-0-1.yaml,blocks/pprobBLOCKS-5-1-err-rate-0-1,10,0,,0.0 hours = 0.3 minutes = 18.48 seconds,,True,10,,0,0,0,0,10,8.0,7.181818181818182,0,5,2.0,1.6704545454545454,2,120,63.0,63.52840909090909,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_5_mystery_pprob01-err-rate-0-1.yaml,mystery/pprob01-err-rate-0-1,5,1,"succumb,(harmony ?v ?n),precPos,-1",,,False,0,4,4,3.9701641305070106,0,43,0,1.1136288125456841,3,8448,2835,3603.698518173965,0,0,0,0,0,2,2,1.8092232041996146,0,2,2,1.8092232041996146
bfs_length_9_mprime_pprob30-err-rate-0-5.yaml,mprime/pprob30-err-rate-0-5,9,0,,,,False,0,8,8.0,7.556451612903226,0,4320,0.0,117.45430107526882,7,43324,30305.5,31628.88172043011,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_4_mprime_pprob29-err-rate-0-3.yaml,mprime/pprob29-err-rate-0-3,4,0,,0.0 hours = 0.4 minutes = 22.41 seconds,,True,4,,0,0,0,0,4,3.0,2.7195121951219514,0,168,0.0,33.1219512195122,12,2638,1525.5,1447.2682926829268,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_8_freecell_pprobfreecell-2-3-err-rate-0-5.yaml,freecell/pprobfreecell-2-3-err-rate-0-5,8,0,,0.0 hours = 0.0 minutes = 0.16 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_9_mprime_pprob30-err-rate-0-1.yaml,mprime/pprob30-err-rate-0-1,9,1,"succumb,(harmony ?v ?s2),effPos,1",,,False,0,8,8,7.599351175993512,0,1355,0,36.66342254663422,7,43974,25912,25139.28304947283,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_10_scanalyzer-sat11-strips_pp01-err-rate-0-5.yaml,scanalyzer-sat11-strips/pp01-err-rate-0-5,10,0,,,,False,0,2,1,1,16384,16384,16384,16384,16384,49150,32767,32767,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_7_data-network-opt18-strips_pp11-err-rate-0-3.yaml,data-network-opt18-strips/pp11-err-rate-0-3,7,1,"load,(cached ?d ?s),effPos,1",0.0 hours = 0.0 minutes = 0.11 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_7_data-network-opt18-strips_pp12-err-rate-0-1.yaml,data-network-opt18-strips/pp12-err-rate-0-1,7,0,,0.0 hours = 0.0 minutes = 0.12 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_9_ged-opt14-strips_pd-3-1-err-rate-0-1.yaml,ged-opt14-strips/pd-3-1-err-rate-0-1,9,0,,0.1 hours = 6.5 minutes = 388.22 seconds,,True,9,,0,0,0,0,9,7,6.851184164015553,0,6,1,1.0774125132555674,6,225,117,118.94521032166844,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_8_data-network-opt18-strips_pp15-err-rate-0-3.yaml,data-network-opt18-strips/pp15-err-rate-0-3,8,0,,0.0 hours = 0.0 minutes = 0.38 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_5_mprime_pprob27-err-rate-0-5.yaml,mprime/pprob27-err-rate-0-5,5,1,"feast,(craves ?v ?n2),effPos,1",0.3 hours = 18.0 minutes = 1080.63 seconds,,False,0,4,4,3.8239461154337477,0,81,0,0.9998838694692834,0,2452,1139,1160.8773661595633,0,0,0,0,0,3,2,1.9374056439437928,0,3,2,1.9374056439437928
bfs_length_8_miconic_ps2-1-err-rate-0-1.yaml,miconic/ps2-1-err-rate-0-1,8,1,"board,(above ?p ?p),precPos,-1",0.0 hours = 0.0 minutes = 0.12 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_11_mprime_pprob14-err-rate-0-1.yaml,mprime/pprob14-err-rate-0-1,11,1,"feast,(= ?n1 ?n1),precPos,-1",,,False,0,10,10.0,9.592557251908397,0,1256,0.0,25.97614503816794,1256,26197,17409.0,17166.289122137405,0,0,0.0,0,0,1,1.0,0.9990458015267175,0,1,1.0,0.9990458015267175
bfs_length_4_mystery_pprob29-err-rate-0-1.yaml,mystery/pprob29-err-rate-0-1,4,1,"overcome,(harmony ?s1 ?n),precPos,-1",0.0 hours = 0.0 minutes = 0.10 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_6_mystery_pprob26-err-rate-0-3.yaml,mystery/pprob26-err-rate-0-3,6,1,"feast,(orbits ?l2 ?l2),precPos,-1",0.0 hours = 0.0 minutes = 0.90 seconds,,False,0,1,1.0,0.8333333333333334,0,5,0.0,0.8333333333333334,0,5,2.5,2.5,0,0,0.0,0,0,1,0.0,0.3333333333333333,0,1,0.0,0.3333333333333333
bfs_length_8_woodworking-sat08-strips_pp21-err-rate-0-3.yaml,woodworking-sat08-strips/pp21-err-rate-0-3,8,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,
bfs_length_6_woodworking-sat08-strips_pp11-err-rate-0-3.yaml,woodworking-sat08-strips/pp11-err-rate-0-3,6,0,,0.0 hours = 0.0 minutes = 0.13 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_8_data-network-opt18-strips_pp09-err-rate-0-5.yaml,data-network-opt18-strips/pp09-err-rate-0-5,8,2,"send,(capacity ?from ?limit),precPos,-1
process,(usage ?s ?before),precPos,-1",0.0 hours = 0.0 minutes = 0.23 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_10_blocks_pprobBLOCKS-4-1-err-rate-0-3.yaml,blocks/pprobBLOCKS-4-1-err-rate-0-3,10,0,,0.0 hours = 0.0 minutes = 1.25 seconds,,True,10,,0,0,0,0,10,5,5,0,4,2,2.090909090909091,3,14,12,10.545454545454545,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_4_mprime_pprob34-err-rate-0-1.yaml,mprime/pprob34-err-rate-0-1,4,0,,0.0 hours = 1.7 minutes = 101.24 seconds,,True,4,,0,0,0,0,4,3,2.869218500797448,0,69,0,6.271132376395534,30,3315,1704,1701.548644338118,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_6_mprime_pprob35-err-rate-0-1.yaml,mprime/pprob35-err-rate-0-1,6,0,,0.0 hours = 1.1 minutes = 68.08 seconds,,True,6,,0,0,0,0,6,5.0,4.553299492385787,0,624,0.0,12.045685279187817,28,4354,2540.0,2210.515228426396,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_8_tpp_pp02-err-rate-0-3.yaml,tpp/pp02-err-rate-0-3,8,1,"buy,(next ?l4 ?l1),effPos,1",0.0 hours = 0.0 minutes = 1.15 seconds,,True,8,"buy,(next ?l4 ?l1),effPos,1",1,0,1,0,8,3.5,3.8,0,32,2.0,7.5,2,67,65.0,50,0,0,0.0,0,0,1,1.0,0.6,0,1,1.0,0.6
bfs_length_7_mprime_pprob11-err-rate-0-5.yaml,mprime/pprob11-err-rate-0-5,7,0,,0.0 hours = 0.2 minutes = 12.43 seconds,,True,7,,0,0,0,0,7,6,5.28421052631579,0,54,0,6.021052631578947,2,480,289,274.13684210526316,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_6_mprime_pprob26-err-rate-0-5.yaml,mprime/pprob26-err-rate-0-5,6,0,,,,False,0,5,5.0,4.903259726603575,0,2024,0.0,6.648089730108658,5,32233,17934.5,17435.12846126884,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_9_mystery_pprob28-err-rate-0-5.yaml,mystery/pprob28-err-rate-0-5,9,2,"feast,(locale ?v ?l2),precPos,-1
overcome,(orbits ?c ?s1),precPos,-1",0.0 hours = 0.0 minutes = 0.12 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_6_mystery_pprob19-err-rate-0-5.yaml,mystery/pprob19-err-rate-0-5,6,2,"succumb,(fears ?c ?v),precPos,-1
succumb,(craves ?c ?n),effPos,1",,,False,0,5,5,4.918466284706919,0,305,2,15.586602027324812,305,33110,16599,17213.590127809606,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_11_mprime_pprob14-err-rate-0-3.yaml,,,,,,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/object:fd.pddl.conditions.Atom'
  in ""./exp_logs/8 BFS-full-log length1-15/bfs_length_11_mprime_pprob14-err-rate-0-3.yaml"", line 101, column 7",False,,,,,,,,,,,,,,,,,,,,,,,,
bfs_length_5_scanalyzer-08-strips_pp24-err-rate-0-1.yaml,scanalyzer-08-strips/pp24-err-rate-0-1,5,1,"analyze-4,(on ?c2 ?s1),effPos,1",0.0 hours = 0.0 minutes = 2.52 seconds,,False,0,1,1,0.96,0,24,0,0.96,0,24,12,12,0,0,0,0,0,3,2,1.84,0,3,2,1.84
bfs_length_10_hiking-opt14-strips_pptesting-2-4-3-err-rate-0-1.yaml,hiking-opt14-strips/pptesting-2-4-3-err-rate-0-1,10,0,,0.0 hours = 0.3 minutes = 17.68 seconds,,True,10,,0,0,0,0,10,7.5,5.694444444444445,0,288,0.0,12.37962962962963,285,1233,701.5,670.6388888888889,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_6_zenotravel_pp03-err-rate-0-5.yaml,zenotravel/pp03-err-rate-0-5,6,2,"fly,(in ?l2 ?a),precPos,-1
fly,(next ?c2 ?a),effPos,1",0.0 hours = 0.0 minutes = 0.40 seconds,,False,0,1,1,0.6666666666666666,0,2,0,0.6666666666666666,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_6_blocks_pprobBLOCKS-4-0-err-rate-0-1.yaml,blocks/pprobBLOCKS-4-0-err-rate-0-1,6,0,,0.0 hours = 0.1 minutes = 3.81 seconds,,True,6,,0,0,0,0,6,4,3.5428571428571427,0,4,1,1.1428571428571428,3,8,6,5.828571428571428,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_8_rovers_pp04-err-rate-0-3.yaml,rovers/pp04-err-rate-0-3,8,1,"calibrate,(calibrated ?i ?r),effPos,1",0.0 hours = 0.2 minutes = 13.36 seconds,,True,8,"calibrate,(calibrated ?i ?r),effPos,1",1,0,1,0,8,4.0,4.403225806451613,0,13,1.0,1.2338709677419355,2,64,51.0,48.266129032258064,0,0,0.0,0,0,1,1.0,0.9274193548387096,0,1,1.0,0.9274193548387096
bfs_length_9_mprime_pprob28-err-rate-0-5.yaml,mprime/pprob28-err-rate-0-5,9,0,,0.0 hours = 0.1 minutes = 4.70 seconds,,True,9,,0,0,0,0,9,7,6.074074074074074,0,54,2,14.851851851851851,54,376,283,253.59259259259258,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_9_mprime_pprob04-err-rate-0-1.yaml,mprime/pprob04-err-rate-0-1,9,0,,,,False,0,8,8,7.723092302565812,0,990,0,13.110629790069977,70,36350,17232,17580.832722425857,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_8_tpp_pp02-err-rate-0-1.yaml,tpp/pp02-err-rate-0-1,8,1,"buy,(loaded ?g ?t ?l4),effPos,1",0.0 hours = 0.0 minutes = 1.31 seconds,,True,8,"buy,(loaded ?g ?t ?l4),effPos,1",1,0,1,0,8,4.0,4,0,2,1.0,1.3571428571428572,2,7,5.0,4.571428571428571,0,0,0.0,0,0,1,0.0,0.14285714285714285,0,1,0.0,0.14285714285714285
bfs_length_4_mprime_pprob34-err-rate-0-5.yaml,mprime/pprob34-err-rate-0-5,4,0,,0.0 hours = 1.9 minutes = 115.28 seconds,,True,4,,0,0,0,0,4,3,2.869218500797448,0,69,0,6.271132376395534,30,3315,1704,1701.548644338118,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_9_pipesworld-notankage_pp05-net1-b10-g4-err-rate-0-3.yaml,pipesworld-notankage/pp05-net1-b10-g4-err-rate-0-3,9,1,"push-unitarypipe,(first ?batch-atom-in ?pipe),precPos,-1",0.0 hours = 0.2 minutes = 14.40 seconds,,False,0,3,2,2.237037037037037,0,10,0,0.9925925925925926,0,23,8,9.088888888888889,0,0,0,0,0,1,1,0.8666666666666667,0,1,1,0.8666666666666667
bfs_length_7_data-network-opt18-strips_pp11-err-rate-0-5.yaml,data-network-opt18-strips/pp11-err-rate-0-5,7,0,,0.0 hours = 0.0 minutes = 0.13 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
